"ready_to_print","Ready to Print"
"printing","Printing"
"printed","Printed"
"new","New"
"active","Active"
"sold","Sold"
"inactive","Inactive"
"pending","Pending"
"expired","Expired"
"virtual-real","Mixed Type"
"virtual","Virtual"
"real","Real"
"Gift card series is not defined","Gift card series is not defined"
"Not valid data provided","Not valid data provided"
"%s Gift Card(s) have been generated","%s Gift Card(s) have been generated"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Gift Card Qty","Gift Card Qty"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Gift Card Format","Gift Card Format"
"Gift Card Prefix","Gift Card Prefix"
"Gift Card Suffix","Gift Card Suffix"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","If empty no separation."
"Generate","Generate"
"Edit Gift Card Series "%s","Edit Gift Card Series "%s"
"New Gift Card Series","New Gift Card Series"
"Gift Card Information","Gift Card Information"
"Save GiftCard","Save GiftCard"
"Delete","Delete"
"Save And Continue Edit","Save And Continue Edit"
"new","New"
"Gift Cards Import","Gift Cards Import"
"Unable to read this file format","Unable to read this file format"
"Empty file","Empty file"
"Gift Card with Code: %s already exist","Gift Card with Code: %s already exist"
"Gift Cards will be generated by this rule","Gift Cards will be generated by this rule."
